[2026-08-04T07:47:02.165Z] GET http://localhost:5026/media/brand_images/cacharel.webp → 200 (28ms, 2346B)
[2026-08-04T07:47:02.165Z] GET http://localhost:5026/media/brand_images/calvin_klein.webp → 200 (29ms, 2342B)
[2026-08-04T07:47:02.165Z] GET http://localhost:5026/media/brand_images/carner_barcelona.webp → 200 (29ms, 3682B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/carolina_herrera.webp → 200 (29ms, 5516B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/cartier.webp → 200 (31ms, 4122B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/chanel.webp → 200 (31ms, 3410B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/chloe.webp → 200 (32ms, 3460B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/clinique.webp → 200 (32ms, 52502B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/clive_christian.webp → 200 (32ms, 5012B)
[2026-08-04T07:47:02.166Z] GET http://localhost:5026/media/brand_images/coach.webp → 200 (38ms, 1656B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/comme_des_garcons.webp → 200 (37ms, 3076B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/costume_national.webp → 200 (37ms, 2256B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/creed.webp → 200 (43ms, 3992B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/davidoff.webp → 200 (41ms, 3986B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/dior.webp → 200 (41ms, 11896B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/diptyque.webp → 200 (43ms, 4250B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/dkny.webp → 200 (43ms, 1772B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/dolce_gabbana.webp → 200 (41ms, 2922B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/electimuss.webp → 200 (46ms, 15316B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/elie_saab.webp → 200 (46ms, 17688B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/elizabeth_arden.webp → 200 (46ms, 3506B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/emir.webp → 200 (46ms, 1164B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/escentric_molecules.webp → 200 (48ms, 5382B)
[2026-08-04T07:47:02.167Z] GET http://localhost:5026/media/brand_images/essential_parfums.webp → 200 (48ms, 14754B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/etat_libre_d_orange.webp → 200 (49ms, 3808B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/ex_nihilo.webp → 200 (49ms, 2764B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/fragrance_du_bois.webp → 200 (50ms, 6326B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/fragrance_world.webp → 200 (50ms, 65960B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/frederic_malle_editions_de_parfums.webp → 200 (50ms, 6538B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/french_avenue.webp → 200 (54ms, 10394B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/fueguia_1833.webp → 200 (55ms, 11990B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/giardini_di_toscana.webp → 200 (55ms, 17040B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/giorgio_armani.webp → 200 (55ms, 3368B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/givenchy.webp → 200 (55ms, 2648B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/gritti.webp → 200 (55ms, 16516B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/gucci.webp → 200 (55ms, 2424B)
